"","Achnanthes.cf.confusa","Achnanthes.daoensis","Achnanthes.spp","Achnanthidium.minutissimum","Achnanthidium.spp","Amphora.coffeaeformis","Amphora.ovalis","Amphora.pediculus","Amphora.spp","Amphora.veneta","Aulacoseira.alpigena","Aulacoseira.distans","Aulacoseira.granulata","Aulacoseira.italica","Aulacoseira.lirata","Aulacoseira.spp","Brachysira.brebissonii","Brachysira.vitrea","Caloneis.bacillum","Caloneis.spp","Caloneis.undulatiformis","Campylodiscus.clypeus","Cavinula.cocconeiformis","Cavinula.pseudoscutiformis","Cocconeis.neothumensis","Cocconeis.placentula.var.euglypta","Cocconeis.placentula.var.lineata","Cocconeis.titicaensis","Craticula.pampeana","Craticula.spp","Cyclostephanos.andinus","Cyclotella.atomus","Cyclotella.meneghiniana","Cymbella.cymbiformis.cystula","Cymbella.gondwana","Cymbella.spp","Cymbopleura.lanceolata","Denticula.elegans","Denticula.kuetzingii","Denticula.subtilis","Diploneis.krammeri","Diploneis.subovalis","Discostella.pseudostelligera","Discostella.stelligera","Discotella.stelligeroides","Encyonema.caespitosum","Encyonema.minutum","Encyonema.neogracile","Encyonema.silesiacum","Encyonema.spp","Encyononema.cf.subelginensis","Encyononema.minutiforme","Encyonopsis.difficiliformis","Encyonopsis.krammeroides","Encyonopsis.microcephala","Encyonopsis.spp","Encyonopsis.subminuta","Epithemia.adnata","Epithemia.sorex","Epithemia.spp","Eunotia.bilunaris","Eunotia.cf.incisa","Eunotia.diodon","Eunotia.spp","Fallacia.spp","Fistulifera.saprophila","Fragilaria.capucina","Fragilaria.crotonensis","Fragilaria.spp","Fragilaria.vaucheriae","Fragilariforma.exigua","Frankophila.similioides","Frustulia.undosa","Gomphonema..pumilum","Gomphonema.acuminatum","Gomphonema.cf.minusculum","Gomphonema.gracile","Gomphonema.minutum","Gomphonema.parvulum","Gomphonema.spp","Gomphonema.truncatum","Gyrosigma.acuminatum","Hannaea.arcus","Hantzschia.amphioxys","Kobayasiella.spp","Kobayasiella.subtilissima","Mastogloia.smithii","Mastogloia.spp","Navicula.cryptotenella","Navicula.densilineolata","Navicula.heimansioides","Navicula.heimansioides.sensu","Navicula.oligotraphenta","Navicula.porifera.var.opportuna","Navicula.radiosa","Navicula.radiosafallax","Navicula.rhynchocephela","Navicula.spp","Navicula.veneta","Naviculadicta.absoluta","Naviculadicta.spp","Naviculadicta.utermoehlii","Navicymbula.pusilla","Neidium.ampliatum","Neidium.hercynicum","Nitzschia.alpina","Nitzschia.archibaldii","Nitzschia.aurariae","Nitzschia.bryophila","Nitzschia.dissipata","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.hantzschiana","Nitzschia.microcephala","Nitzschia.palea","Nitzschia.perminuta","Nitzschia.pusilla","Nitzschia.rosenstockii","Nitzschia.spp","Nitzschia.tropica","Opephora.mutabilis","Pinnularia.borealis","Pinnularia.divergentissima","Pinnularia.gibba","Pinnularia.microstauron","Pinnularia.nitzschiophila","Pinnularia.notabilis","Pinnularia.spp","Pinnularia.viridis","Placoneis.pseudoanglica","Placoneis.subplacentula","Plagiotropis.arizonica","Planothidium.cf.engelbrechtii","Planothidium.delicatulum","Planothidium.lanceolatum","Planothidium.spp","Psammothidium.subatomoides","Pseudostaurosira.brevistriata","Pseudostaurosira.elliptica","Pseudostaurosira.laucensis.var.vulpina","Pseudostaurosira.pseudoconstruens","Pseudostaurosira.spp","Pseudostaurosira.zeilleri.var.capitellata","Pseudostaurosira.zeilleri.var.elliptica","Rhoicosphenia.abbreviata","Sellaphora.laevissima","Sellaphora.pupula","Sellaphora.spp","Stauroneis.anceps","Stauroneis.gracilior","Stauroneis.spp","Stauroneis.subgracilis","Staurosira.aventralis","Staurosira.construens","Staurosira.construens.var.venter","Staurosira.spp","Staurosirella.leptostauron","Staurosirella.pinnata","Staurosirella.spp","Surirella.spp","Synedra.acus","Synedra.rumpens","Tabellaria.flocculosa","Ulnaria.delicatissima.var.angustissima","Ulnaria.ulna"
"Cusco_C-PLS-10",0.634249471458774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845665961945032,0,0,0,0,0,0,0,1.69133192389006,0,0.211416490486258,0.211416490486258,9.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90274841437632,0,0,0,0,0,0,0,0,0,0,0,0,0.422832980972516,0,0,0,0,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0.211416490486258,0,0,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211416490486258,0,0,0,0,0.422832980972516,0,0,0,0,0,0,0,1.05708245243129,0,0,0.422832980972516,0,0,0,0,0,0,0,0,1.69133192389006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845665961945032,0,0,1.26849894291755,0.211416490486258,0.211416490486258,0,1.26849894291755,30.8668076109937,0,1.69133192389006,0,0,0,0,0,0,0,0,0.211416490486258,10.1479915433404,0,0.211416490486258,32.1353065539112,0.211416490486258,0,0,1.26849894291755,0,0,0
"Cusco_C-PLS-11",0,0,0,0,0,0,0,0,0,0,0,0,90.728476821192,0,0,0,0,0,0,0,0,0,0,0,0.22075055187638,0.22075055187638,0.22075055187638,0.22075055187638,0,0,0,1.1037527593819,0.441501103752759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22075055187638,0,0,0,0,0,0,0,1.54525386313466,1.54525386313466,0,0,0,0,0,0,0,0,0,0,0.22075055187638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441501103752759,0,0,2.2075055187638,0.662251655629139
"Cusco_C-PLS-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12612612612613,0,0,0,0,0,0,0,0,35.8108108108108,0.225225225225225,0,0,0,0,0,0,0,0,0,34.009009009009,10.8108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40540540540541,0,0,0,0,0,0,0,0,0,0,0,0.45045045045045,0,0,0,0,0,0,0,0.225225225225225,0.225225225225225,0,0,0.675675675675676,0,0,0.45045045045045,0.225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675675675675676,0,0,0,0,4.72972972972973,4.72972972972973,0,0,0,0,0,0,0,0,0,0.225225225225225,0,0,0,0,0,0,0,0,0,0,0
"Cusco_C-PLS-13",0.43956043956044,0,0,3.51648351648352,1.75824175824176,0.21978021978022,0,0,0,0.43956043956044,0,0.21978021978022,0,0,0,0.21978021978022,0,0,0,0,0,0,0,0,0,0,0.21978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21978021978022,0,0,0.21978021978022,0,0.879120879120879,0,0,0,0.43956043956044,0.21978021978022,0,0,0,0,0,0,0,0,0,0,0,0.659340659340659,0,0,0,0.21978021978022,0,0,0,0,0,0,0.21978021978022,0,0,0,0,0.21978021978022,0.21978021978022,0,0,0,0,0,0.21978021978022,0,0,0,0,0,0,0,0.43956043956044,1.75824175824176,0,0,0,0,0,1.75824175824176,0,0,0,0.21978021978022,0,0,0,0,0,0,0,0.21978021978022,0,0.21978021978022,0,0,0.21978021978022,0,0,0,0,0,0,0,0,1.75824175824176,0,0.43956043956044,0.43956043956044,5.27472527472527,0.21978021978022,0,0,1.75824175824176,3.07692307692308,42.6373626373626,0.659340659340659,0,0,0.21978021978022,0,0,0,0,0,0,1.0989010989011,20.4395604395604,0.21978021978022,0.21978021978022,3.07692307692308,0,0.21978021978022,0,0,2.63736263736264,0,0
"Cusco_Cs-PLS-1",0,0,0.221238938053097,0,0.221238938053097,0,0,0.221238938053097,0,0,0,0,0,3.76106194690266,0,0,0,0,0,0,0,0,0,0,0,0.442477876106195,2.65486725663717,0.663716814159292,0,0,0,0,0,0.442477876106195,0,0,0,0,0,0,0,0,2.21238938053097,31.4159292035398,0.884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0.221238938053097,0.221238938053097,0,0,0,0,0,0,1.10619469026549,0,0,0,0,0,0.884955752212389,0,2.21238938053097,0,0,0,0,0,0.221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0.221238938053097,0,0,0,0,0,0.221238938053097,0,0,2.65486725663717,0,0,0,1.10619469026549,0,0,0,0,0,1.10619469026549,0.221238938053097,0,0,0,0,0,0,1.10619469026549,2.21238938053097,0,0,0,0,0,0,0,0,0.884955752212389,0,0,0,0,5.97345132743363,0,0,0.884955752212389,0.884955752212389,0,0,0.884955752212389,9.29203539823009,0,0,0,0.221238938053097,0,0,0,0,0,0,0,0.442477876106195,0,0,23.4513274336283,0,0,0.221238938053097,0,0,0,0
"Cusco_Cs-PLS-2",0,0,0,1.53172866520788,0,0,0,0,0.437636761487965,0.87527352297593,0,0,0,0,0,0,0,35.8862144420131,0,0.218818380743982,0,0,0,0,0,0,0.218818380743982,0,0,0,0,0,0.218818380743982,0.218818380743982,0,0,0,0.87527352297593,44.8577680525164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50109409190372,1.96936542669584,0.437636761487965,3.7199124726477,0,0.218818380743982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09409190371991,0,0.218818380743982,0,0,0.218818380743982,0,0,0,0,0,0,0,0,0,0,0,0.218818380743982,0,0,0,0.437636761487965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656455142231947,0,0,0,0,0.437636761487965,0,0,0,0.218818380743982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09409190371991,0.218818380743982
"Cusco_Cs-PLS-3",0,0,0,14.3700787401575,0,0,0,0,0,0,0,0,0,1.37795275590551,0.590551181102362,0,0,0,0.196850393700787,0,0,0,0,0.590551181102362,0,0,0.196850393700787,0,0,0,0,0,0,0.196850393700787,0,0.196850393700787,0,0,0,0,0,0,0.196850393700787,53.3464566929134,0,0,0.393700787401575,0.393700787401575,0,0,0,0,0,0,0,0.78740157480315,0,0,0,0,0,0,0,0.984251968503937,0,0,0,0,0,0,0.196850393700787,0,0,0,0,0,0,0,0,0.78740157480315,0.196850393700787,0,0,0,0,0,0,0,0,0,0.196850393700787,0.984251968503937,0,0,0,0.393700787401575,0,0,0,0,0,0,0,0,0,0,7.08661417322835,0,0,0,0,0,0,0.590551181102362,0,0,0,0,0,0,0,0,0,0.196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,1.5748031496063,1.5748031496063,0,0,0.196850393700787,0,0,0,0,0,0,0,0.196850393700787,0,0,0,0,0,7.08661417322835,0,0,1.18110236220472,0,0,0,0.196850393700787,3.54330708661417,0,0
"Cusco_Cs-PLS-4",0,0,0,1.12903225806452,0,0,0,0,0,0,0,0,0,3.54838709677419,0,0.161290322580645,0,0,0,0,0,0,0,0.32258064516129,0,0,0,0,0.161290322580645,0,0,0,0,0.161290322580645,0.161290322580645,0,0,0,0,0,0,0,0,18.8709677419355,0.161290322580645,0,0.161290322580645,0.483870967741935,0,0,0,0,0,0.161290322580645,0,0,0.645161290322581,0.161290322580645,0,0.32258064516129,0,0.161290322580645,0,0.161290322580645,0,1.7741935483871,0,0,0,0,0,0.645161290322581,0,0,0.161290322580645,0,0.161290322580645,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32258064516129,0,0,0,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0.32258064516129,0,0,0,0,0,0,0,0,0,0,0,0.161290322580645,0,0,0,0,0,0.161290322580645,0,0,0.483870967741935,0.161290322580645,0,0,0,0,0.32258064516129,0,0.32258064516129,0,2.41935483870968,0.645161290322581,0,0.32258064516129,2.41935483870968,30.8064516129032,0,0,0,0.161290322580645,0,0,0,0,0,0,0,27.0967741935484,0,0,2.41935483870968,0,0,0,0,1.45161290322581,0,0
"Cusco_Cs-PLS-5",0.518134715025907,0,0,2.76338514680484,1.03626943005181,0,0,0,0,0,0.345423143350604,1.20898100172712,0,0,0,0,0,0,0,0,0,0,0,1.20898100172712,0.172711571675302,0,3.28151986183074,0,0,0,0,0,0,0.345423143350604,0,0,0,0,0,0,0,0,0,6.56303972366149,0,0,0,0.345423143350604,0,0.345423143350604,0,0.172711571675302,0,0.172711571675302,0,0.172711571675302,0,0.345423143350604,0.172711571675302,0,0,0.172711571675302,0.345423143350604,0.345423143350604,0,0,0,7.08117443868739,0.690846286701209,0.345423143350604,0,0.690846286701209,0,0,1.03626943005181,1.03626943005181,0.345423143350604,0,0,0.690846286701209,0.690846286701209,0,0,0,0.518134715025907,0,0,0,0,0,0,0,0,0,0.518134715025907,0,0,0,0,0,0.172711571675302,0.172711571675302,0,0,0,0,0.345423143350604,0,0,0,0.518134715025907,0,0,0,0,0,0,0,0.172711571675302,0,0,0,0,0.172711571675302,0,0,0,0,0,0,0,0,0,0.345423143350604,0.345423143350604,0,0,3.97236614853195,0,0,0.345423143350604,1.38169257340242,11.7443868739206,0,0,0,0.345423143350604,0,0,0,0,0,0,0,9.67184801381693,0.172711571675302,0,32.2970639032815,0,0,0,3.62694300518135,0.345423143350604,0,0.172711571675302
"Cusco_Cs-PLS-6",0,0,0,41.5555555555556,0,0,0.222222222222222,0,0,0.222222222222222,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0.222222222222222,0.222222222222222,0,0,0,0.222222222222222,0,0,0,0,0.222222222222222,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0,0.222222222222222,0,0,1.11111111111111,0,0,0.222222222222222,1.11111111111111,0.222222222222222,0.666666666666667,0,0.888888888888889,0,0,0,0,2,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0.222222222222222,0,4,2.66666666666667,0,0,1.11111111111111,0,0,0,0,0,0,6.88888888888889,0,0,0,0,0,0.222222222222222,2,0,0,0,0.222222222222222,0,0,0,0,0,0.222222222222222,0,0,0.222222222222222,0,0,0,0,0,0,0,0.444444444444444,1.33333333333333,0.222222222222222,0,0.222222222222222,0.666666666666667,0,0,0,6.66666666666667,0,0.222222222222222,18.2222222222222,0,0,0,0,1.33333333333333,0,0
"Cusco_Cs-PLS-7",1.78217821782178,0,0,8.51485148514852,1.18811881188119,0,0.198019801980198,0,0,0,0.99009900990099,0,0,0,0,0,0,0.396039603960396,0,0,0,0,0.198019801980198,0.99009900990099,0,0,0.198019801980198,0,0,0,0,0,0,0.198019801980198,0,0.198019801980198,0,0,0,0,0.198019801980198,0,0,1.58415841584158,0,0,1.58415841584158,0.594059405940594,0,0,0,0.594059405940594,0,0,0,0,0.99009900990099,0.198019801980198,0,0.198019801980198,0,0,0,0.198019801980198,0,0,0,0.198019801980198,0.396039603960396,0,0,0,0,0,0.198019801980198,0,0,0,0,0,0.198019801980198,0,0.198019801980198,0,0,0,0,0,0,0.198019801980198,0.198019801980198,0.396039603960396,0,0,0.792079207920792,0.396039603960396,0.396039603960396,0.198019801980198,0,0.198019801980198,0,0,0,0,0.198019801980198,0,0.396039603960396,0,0,0,0,0,0,0,0.198019801980198,0,0,0,0,0,0,0,0,0,0.198019801980198,0,0,0,0.198019801980198,0,0,0,0,0,0,0,0,3.76237623762376,0,0,0,0,0.198019801980198,0,0,0.198019801980198,0.198019801980198,0.198019801980198,0,0.198019801980198,0,0.198019801980198,0,0,8.11881188118812,0,0,58.4158415841584,0,0,0.198019801980198,0,1.18811881188119,0,0.99009900990099
"Cusco_Cs-PLS-8",0,0,0,2.32558139534884,0,0,0,0,0,0,0,0,0,0,0,0.465116279069767,0,0.232558139534884,0,0,0,0,0,0,0.232558139534884,0,0.232558139534884,0,0.232558139534884,0,0,0,0.465116279069767,0.232558139534884,0.232558139534884,0.232558139534884,0,3.25581395348837,0.232558139534884,0,0,0.232558139534884,0,72.5581395348837,0,0,0,0,0.232558139534884,0,0.232558139534884,0,0,0,0,0,0.697674418604651,0,0.697674418604651,0.697674418604651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232558139534884,0,0,0.930232558139535,0,0,0.465116279069767,0,0,0,0,0,0,0,0,0,0.232558139534884,0,2.7906976744186,0,0,0.465116279069767,0,0.232558139534884,0,0,0,0,0,6.27906976744186,1.16279069767442,0,0,0,0,0.465116279069767,0.232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465116279069767,0.697674418604651,0,0,0,0,0,0,0,0,0,0.232558139534884,0.930232558139535,0,0,0,0,0,0,0
"Cusco_Cs-PLS-9",0,0,0,0.707547169811321,0,0,0,0,0,0.235849056603774,0,0,0,0,0,0,0,0,0,0,0,0.235849056603774,0,0,0,0,0.235849056603774,0,0,0,0,0,0,0,0,0,0,91.2735849056604,0.235849056603774,0.943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235849056603774,0.943396226415094,0,0,0,4.4811320754717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cusco_Cusc-CH1",2.7190332326284,1.20845921450151,0,0.906344410876133,0,0,0,0,0,0,0.906344410876133,14.8036253776435,0,5.74018126888217,0,1.20845921450151,0.604229607250755,0,0,0,0,0,0,0.604229607250755,0,0,0.604229607250755,0,0,0,0,0,0.302114803625378,0.604229607250755,0,0,0,0,0,0,0.302114803625378,0,0,0.906344410876133,0,0,0.302114803625378,1.20845921450151,0,1.20845921450151,0,1.20845921450151,0,0,0,0,0,0,0,0,0,3.62537764350453,2.41691842900302,1.51057401812689,0,0.604229607250755,0,0,0.302114803625378,0,0,0,0.906344410876133,0.604229607250755,0,0,1.20845921450151,0,1.20845921450151,3.02114803625378,0,0,0,0,1.20845921450151,0.906344410876133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604229607250755,0,0,0,0,0,3.62537764350453,0,0,0,0,0,0,0,0,0,0,0,0.302114803625378,0,0,0.604229607250755,0,0,0.302114803625378,0,0,0.906344410876133,0,0,0,0,0,0,0,0.302114803625378,0,4.53172205438066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2114803625378,0,0,0,0,0.302114803625378,0,3.92749244712991,1.51057401812689,0,0
"Cusco_Cusc-DP1",0.251256281407035,0,0.50251256281407,4.77386934673367,0.753768844221105,0,0.251256281407035,0,0,0,0,0,0,0,0,0.251256281407035,0,0,0,0,0,0,0,0,0,0,0,0,0.251256281407035,0.251256281407035,0,0,0,0,0,0,0,0,0,0,0,0.251256281407035,0,0,0,0,0,0,0,0,0,0.50251256281407,0,0,0,0,0,0,0,0,0,0,0,0.251256281407035,0,0,0.753768844221105,0,0.251256281407035,0,0,0,0,0,0,0,1.00502512562814,0,0.50251256281407,0,0,0,0,0,1.00502512562814,0,0,0,0,0,0,0,0.251256281407035,0,0,0,0,0,0,0,0.251256281407035,1.75879396984925,0,0,0,0,5.77889447236181,0,0,0,1.25628140703518,0,0,0,0,0,0,0,0,0,0,0.251256281407035,0,0,0,0,0.251256281407035,0.251256281407035,0.251256281407035,0,0.251256281407035,0,0,1.50753768844221,1.50753768844221,0,0,16.3316582914573,1.75879396984925,0,0.753768844221105,0,3.76884422110553,0,0,0,1.75879396984925,0,0.251256281407035,0.251256281407035,0,0,0.753768844221105,0,26.8844221105528,0,0,21.8592964824121,0,0.251256281407035,0,0,0,0,0
"Cusco_Cusc-IA1",0,0,0,7.39957716701903,0,0,0,0,0,0,0,0,0,0,0,0.211416490486258,3.17124735729387,4.22832980972516,0,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0,0,2.32558139534884,0,0,0,0.211416490486258,0,0.211416490486258,0,0.211416490486258,1.05708245243129,0,0,0,0,0,0,0.211416490486258,0,0,0.422832980972516,0,0,0,0,0,0.211416490486258,0,0,0,0,0,0,0.211416490486258,0,0,0,0,0,1.47991543340381,0,0,1.69133192389006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211416490486258,0,0,3.59408033826638,0,0,0.211416490486258,1.47991543340381,0,0,0,0.211416490486258,0,0,0,0,0,0,0.211416490486258,0.211416490486258,0,0,0,0,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211416490486258,0,0,0,0.211416490486258,0,0.211416490486258,0,0,0,0,0,64.0591966173362,0,0,5.07399577167019,0,0,0,0,0.211416490486258,0,0
"Cusco_Cusc-YC1",1.69133192389006,0,0,11.6279069767442,0.422832980972516,0,0,0,0,0,4.86257928118393,0,0,23.2558139534884,0,0,0,0,0,0,0,0,0,0.422832980972516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211416490486258,1.47991543340381,0,0.422832980972516,0,3.17124735729387,0.422832980972516,0.211416490486258,0,0,0.211416490486258,0,0,0,0.422832980972516,0.422832980972516,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,1.05708245243129,0,0.211416490486258,1.05708245243129,0,0,0,0,0,0.211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11416490486258,0,1.47991543340381,0,0.422832980972516,0,0,0,0.211416490486258,2.74841437632135,0,4.22832980972516,0,0,0,0,0,0.211416490486258,0.211416490486258,0,0,0.211416490486258,0,0,0,0,0,0.211416490486258,0,0.211416490486258,0,19.2389006342495,0,0,0,0,0.845665961945032,0,0,0,0,0,0.211416490486258,0.422832980972516,0,0,2.74841437632135,0.634249471458774,8.45665961945032,0,0,2.32558139534884,0,0.211416490486258,0,0.634249471458774,0,0,0
