"","Achnanthes.brevipes.var.brevipes","Achnanthes.sp.1.CHAIRIRI","Achnanthidium.exiguum","Achnanthidium.minutissimum","Achnanthidium.saprophilum","Amphora.acutiuscula","Amphora.carvajaliana","Amphora.cf.luciae.sensu","Amphora.cf.tenerrima","Amphora.coffeaeformis","Amphora.copulata","Amphora.lybica","Amphora.pediculus","Amphora.subacutiuscula","Amphora.veneta","Anomoeoneis.sphaephora.f.costata","Anomoeoneis.sphaerophora","Biremis.circumtexta","Brachysira.cf.neglectissima","Brachysira.sp.1.CHAIRIRI","Caloneis.cf.bacillum","Caloneis.cf.molaris","Campylodiscus.clypeus","Cocconeis.cf.pseudothumensis","Cocconeis.placentula.var.euglypta","Cocconeis.placentula.var.lineata","Cocconeis.placentula.var.placentula","Cocconeis.pseudolineata","Craticula.acidoclinata","Craticula.ambigua","Craticula.buderi","Craticula.cuspidata","Craticula.halophidoides","Craticula.halophila","Craticula.spp","Ctenophora.pulchella","Cyclotella.meneghiniana","Cymbella.cymbiformis.cystula","Cymbella.excisa","Denticula.kuetzingii","Denticula.valida","Diatoma.moniliformis","Diatoma.vulgaris","Discostella.stelligera","Encyonema.minutum","Encyonema.silesiacum.var.chilensis","Encyonema.sp.1.LAGUNA.BLANCA","Encyonopsis.microcephala","Encyonopsis.subminuta","Entomoneis.paludosa.var.subsalina","Eolimna.subminuscula","Epithemia.adnata","Epithemia.sorex","Eunotia.exigua","Eunotia.muscicola.var.tridentula","Eunotia.tenella","Fallacia.cf.pygmaea","Fragilaria.aff.investiens","Fragilaria.capucina","Fragilaria.capucina.var.capitelata","Fragilaria.sp.1.LAGUNILLAS","Fragilaria.tenera","Fragilaria.vaucheriae","Frankophila.similioides","Gomphonema.angustatum","Gomphonema.auritum","Gomphonema.cf.parvulum","Gomphonema.cf.pseudoaugur","Gomphonema.clavatum","Gomphonema.gracile","Gomphonema.lagenula","Gomphonema.minutum","Gomphonema.parvulum","Gomphonema.pseudoaugur","Gomphonema.pumilum.var.rigidum","Gomphonema.sp.1.DESAGUADERO","Gomphonema.sp.1.HUANCAROMA","Gomphonema.sp.1.MAURI","Gomphonema.truncatum.var.capitatum","Gyrosigma.acuminatum","Halamphora.kevei","Halamphora.paraveneta","Hantzschia.amphioxys","Hantzschia.cf.abundans","Hantzschia.distinctepunctata","Hantzschia.sp.1.DESAGUADEROP","Hippodonta.hungarica","Lemnicola.hungarica","Luticola.kotschyi","Luticola.mutica","Luticola.nivalis","Luticola.sp.1.LAGUNA.BLANCA","Luticola.sp.1.POOPO","Martiana.martyii","Mastogloia.elliptica","Navicula.aff.luciae","Navicula.altiplanensis","Navicula.capitatoradiata","Navicula.cf.dilucida","Navicula.cf.lauca","Navicula.cryptocephala","Navicula.cryptotenella","Navicula.erifuga","Navicula.gregaria","Navicula.lanceolata","Navicula.lauca","Navicula.libonensis","Navicula.microdigitoradiata","Navicula.parinocota","Navicula.peregrina","Navicula.pseudogracilis","Navicula.reichardtiana","Navicula.salinicola","Navicula.sp.1.DESAGUADERO3","Navicula.sp.1.NAZACARA","Navicula.sp.1.SALCRO","Navicula.sp.1.SOLEDAD","Navicula.sp.1.UMAPA","Navicula.tripunctata","Navicula.vandami.var.mertiense","Navicula.veneta","Naviculadicta.cf.bacilloides","Naviculadicta.cf.utermoehlii","Naviculadicta.chilensis","Naviculadicta.sp.1.DESAGUADERO","Navicymbula.pusilla","Neidium.bisulcatum","Nitzschia.acidoclinata","Nitzschia.adamata","Nitzschia.aff.semirobusta","Nitzschia.agnita","Nitzschia.boliviana","Nitzschia.capitellata","Nitzschia.cf.alpina","Nitzschia.cf.archibaldii","Nitzschia.cf.bacillum","Nitzschia.cf.boliviana","Nitzschia.cf.elliptica","Nitzschia.cf.fonticola","Nitzschia.cf.frustulum","Nitzschia.cf.palea","Nitzschia.cf.palea.var.debilis","Nitzschia.cf.perminuta","Nitzschia.cf.pusilla","Nitzschia.chungara","Nitzschia.communis","Nitzschia.commutata","Nitzschia.dissipata","Nitzschia.dubia","Nitzschia.epithemioides","Nitzschia.fonticola","Nitzschia.frustulum","Nitzschia.gracilis","Nitzschia.hantzschiana","Nitzschia.inconspicua","Nitzschia.liebertruthii","Nitzschia.linearis","Nitzschia.microcephala","Nitzschia.nana","Nitzschia.palea","Nitzschia.sigma","Nitzschia.solita","Nitzschia.soratensis","Nitzschia.sp.1.DESAGUADERO1","Nitzschia.sp.1.NAZACARA","Nitzschia.sp.2.NAZACARA","Nitzschia.subacicularis","Nitzschia.subtilioides","Nitzschia.supralitorea","Nitzschia.tropica","Nitzschia.umbonata","Nitzschia.valdecostata","Pinnularia.borealis","Pinnularia.cf.stomatophora","Pinnularia.gibba","Pinnularia.laucensis","Pinnularia.obscura","Placoneis.constants","Planothidium.biporomum","Planothidium.delicatulum","Planothidium.frequentissimum","Planothidium.lanceolatum","Planothidium.rhombicuneatum","Planothidium.rostratum","Psammothidium.subatomoides","Pseudostaurosira.brevistriata","Pseudostaurosira.cf.decipiens","Pseudostaurosira.cf.elliptica","Pseudostaurosira.cf.elliptica.1","Pseudostaurosira.cf.kjotsunarum","Pseudostaurosira.cf.sajamaensis","Pseudostaurosira.laucensis","Pseudostaurosira.laucensis.var.vulpina","Pseudostaurosira.pseudoconstruens","Pseudostaurosira.sp.1.LAKE34","Pseudostaurosira.subsalina","Reimeria.sinuata","Rhoicosphenia.abbreviata","Rhopalodia.brebissoni","Rhopalodia.cf.gibberula","Rhopalodia.constricta","Rhopalodia.gibba","Rhopalodia.gibba.var.parallela","Sellaphora.pupula","Stauroneis.agrestis","Staurophora.vilamae","Staurosira.construens.var.exigua","Staurosira.construens.var.venter","Staurosira.sp.1.DESAGUADERO3","Staurosira.sp.1.FLOODPLAIN","Staurosirella.leptostauron","Staurosirella.pinnata","Stephanodiscus.parvus","Surirella.angusta","Surirella.brebissoni","Surirella.ovalis","Surirella.roba","Surirella.wetzelii","Synedra.acus","Tabellaria.tabulata","Tryblionella.apiculata","Tryblionella.compressa","Tryblionella.hungarica","Tryblionella.tryblionella","Ulnaria.ulna"
"Brdb-SA_FldPlPnP",0.21978021978022,0,0.43956043956044,0,0,0,0,0,0,0,0.659340659340659,0,0,0.21978021978022,6.37362637362637,0,0,0,0,0,0,0,0,0,0.21978021978022,0,4.17582417582418,0,0,1.75824175824176,0,0,0,0,0,0.21978021978022,0,0,0,0,0,0,0.43956043956044,0.879120879120879,0,0.21978021978022,0,0.21978021978022,0,0,0,0,0.43956043956044,0,0,0,0.879120879120879,0.21978021978022,1.75824175824176,0,1.75824175824176,0,0.43956043956044,0.21978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659340659340659,0,0.21978021978022,0,0,0,0,0,0,2.1978021978022,0.659340659340659,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,2.63736263736264,0,4.83516483516484,0.659340659340659,0,3.73626373626374,1.75824175824176,0.43956043956044,0,0,0,0,0,0,1.0989010989011,0,0,2.63736263736264,0,0,0.21978021978022,0,0.43956043956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31868131868132,0,0,1.0989010989011,2.85714285714286,0,0,0,0,0,0,0,0,1.0989010989011,0.659340659340659,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0.879120879120879,0,0,0,0,1.97802197802198,0,0,0,0,0,0,1.75824175824176,1.53846153846154,0,0,0,0,0.659340659340659,0.43956043956044,0,0,0,11.4285714285714,0.21978021978022,0,0.659340659340659,0,0,0,0,0,0.43956043956044,0,0,0,0.659340659340659,0.21978021978022,0,0,0,0,1.0989010989011,0,4.83516483516484,0,0,0,0.21978021978022,0,0,0.659340659340659,2.63736263736264,2.63736263736264,0,12.5274725274725,0.43956043956044,0
"Brdb-SA_HncrmDry1",0,0,0,0,0,1.8348623853211,0,0,0,5.32110091743119,0,0,0,0,11.3761467889908,0,0,0,0,0,0,0,0,0,20.1834862385321,0,8.07339449541285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55045871559633,0,0,0,0,0,0,15.7798165137615,4.03669724770642,0,0,0.18348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18348623853211,0,0,0,0,0,0,0,0,0,0,0.36697247706422,0,0,0,0,2.38532110091743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7798165137615,11.5596330275229,0.36697247706422,0,0.18348623853211,0,0
"Brdb-SA_HncrmDry2",0,0,0,0,0,7.53138075313808,0,1.88284518828452,1.88284518828452,1.67364016736402,0,0,0,0,1.46443514644351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46443514644351,0,0,0,0,1.04602510460251,0,0,0,0,0,0,0,0,0,0,51.4644351464435,0,0,0,0,6.48535564853557,0,0,17.7824267782427,0,0,0,0,0.418410041841004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627615062761506,0,0,5.23012552301255,0,0,0,0,0,0,0,0,0,0,0.418410041841004,0.209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209205020920502,0,0,0,0
"Brdb-SA_LagnChrr",0,0.1669449081803,1.1686143572621,57.0951585976628,0.1669449081803,0,0,0,0,0,0,0,0,0,2.17028380634391,0,0,0,0.1669449081803,0.1669449081803,0,0,0,2.50417362270451,0,0,0,0.500834724540901,0,0,0,0,0,0,0,0,0,0,0,0,7.01168614357262,0,0,0,0,0,0,0.333889816360601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83806343906511,2.00333889816361,0,0,0,0,21.3689482470785,0,0,0,0,0,0,0,0,0,0,0,0.1669449081803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1669449081803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1669449081803,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5025041736227,0,0,0,0,0,0.333889816360601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brdb-SA_LgBS.RJU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234192037470726,0,0.234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936768149882904,0,0.936768149882904,0,0,0,0,14.9882903981265,0.234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,80.7962529274005,0,0,0,0,0,0,0,0.702576112412178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234192037470726,0,0,0,0.234192037470726,0,0,0,0,0,0,0,0,0.234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234192037470726,0,0,0
"Brdb-SA_LgnDsgdr",0,0,0.595238095238095,0,0,0.198412698412698,0,3.17460317460317,0,0,0,0,0,0,1.38888888888889,0,0.396825396825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198412698412698,0,0,0,0.595238095238095,0,0,0,0,0,0,0,0,0,0,0,0.198412698412698,0,0,0,0.595238095238095,0.396825396825397,0,0,0,0,0,0,0,0,0.992063492063492,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0.198412698412698,0,0,0.198412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0.198412698412698,0,0,0,0,0,0,0,0,0.198412698412698,0,0.793650793650794,2.18253968253968,3.96825396825397,0.992063492063492,0,0.793650793650794,0.992063492063492,0,0,0,0,0,0,0,0,0,0,0,0.198412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595238095238095,0,0,0,0,0,0,0,0.793650793650794,1.98412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396825396825397,0,0,0,0,0,0,0,0,3.17460317460317,0.992063492063492,0,0,0,0,1.38888888888889,0,5.75396825396825,4.16666666666667,0.198412698412698,27.3809523809524,0,0,0,0,18.2539682539683,0,0,0,0,0.396825396825397,0.595238095238095,0,0,0,0,0,6.94444444444444,2.38095238095238,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0.198412698412698,0,2.18253968253968,0,0
