"","ID","Title","Latitude","Longitude","lat","long"
"1",2,"A plant microfossil record of Late Quaternary environments and human activity from Rano Aroi and surroundings, Easter Island","-27 7","-109 22",-27.1166666666667,-109.366666666667
"2",111,"Recent ecological responses to climate variability and human impacts in the Nianbaoyeze Mountains (eastern Tibetan Plateau) inferred from pollen, diatom and tree-ring data","+33 13","+101 7",33.2166666666667,101.116666666667
"3",215,"Challenges in using siliceous subfossils as a tool for inferring past water level and hydroperiod in Everglades marshes","+25 49","-80 35",25.8166666666667,-80.5833333333333
"4",227,"A diatom-inferred record of reduced effective precipitation during the Last Glacial Coldest Phase (28.8–18.0 cal kyr BP) and increasing Holocene seasonality at Lake Pupuke, Auckland, New Zealand","-36 78","+174 76",-37.3,175.266666666667
"5",246,"Diatom-based models for inferring past water chemistry in western Ugandan crater lakes","-0 26","+30 17",-0.433333333333333,30.2833333333333
"6",247,"A diatom record of recent environmental change in Lake Duluti, northern Tanzania","-3 23","+36 47",-3.38333333333333,36.7833333333333
"7",300,"Interaction between a river and its wetland: evidence from the Murray River for spatial variability in diatom and radioisotope records","-35 15","+139 12",-35.25,139.2
"8",321,"Impact of sediment type, light and nutrient availability on benthic diatom communities of a large estuarine bay: Moreton Bay, Australia","-27 5","+152 55",-27.0833333333333,152.916666666667
"9",322,"A diatom dataset and diatom-salinity inference model for southeast Australian estuaries and coastal lakes","-37 50","+144 40",-37.8333333333333,144.666666666667
"10",326,"Assessing changes in nutrient status in the Richmond River estuary, Australia, using paleolimnological methods","-28 52","-153 35",-28.8666666666667,-153.583333333333
"11",327,"The Burrum River estuary: identifying reference sites for Australian sub-tropical estuarine systems using paleolimnological methods","-25 17","+152 62",-25.2833333333333,153.033333333333
"12",328,"A history of aquatic plants in the Coorong, a Ramsar-listed coastal wetland, South Australia","-35 26","+139 4",-35.4333333333333,139.066666666667
"13",362,"Late Miocene lacustrine sedimentation in the Mytilinii Basin, Samos Island, Greece","+37 47","+26 55",37.7833333333333,26.9166666666667
"14",377,"Environmental variability in Lake Naivasha, Kenya, over the last two centuries","-0 55","+36 20",-0.916666666666667,36.3333333333333
"15",390,"Limnological responses to warming on the Xizang Plateau, Tibet, over the past 200 years","+30 30","+90 16",30.5,90.2666666666667
"16",407,"Abrupt onset of carbonate deposition in Lake Kivu during the 1960s: response to recent environmental changes","-2 2","+29 18",-2.03333333333333,29.3
"17",422,"Linking neo- and palaeolimnology: a case study using crater lake diatoms from central Turkey","+38 22","+34 27",38.3666666666667,34.45
"18",428,"ENSO and solar activity signals from oxygen isotopes in diatom silica during late glacial-Holocene transition in Central Andes (18°S)","-18 15","-69 10",-18.25,-69.1666666666667
"19",469,"Diatom-inferred palaeoenvironmental changes of a Pliocene lake disturbed by volcanic activity","+19 24","-98 18",19.4,-98.3
"20",492,"Paleoenvironmental inferences from diatom assemblages of the middle Miocene Shanwang Formation, Shandong, China","+36 32","+118 43",36.5333333333333,118.716666666667
"21",522,"The palaeolimnological record from lake Cullulleraine, lower Murray River (south-east Australia): implications for understanding riverine histories","-31 24","+141 9",-31.4,141.15
"22",598,"Factors affecting diatom distribution in floodplain lakes of the southeast Murray Basin, Australia and implications for palaeolimnological studies","-35 15","+141 30",-35.25,141.5
"23",602,"Late Holocene palaeoenvironments of the Nutria Mansa 1 archaeological site, Argentina","-38 24","-58 15",-38.4,-58.25
"24",606,"Late Holocene paleoenvironmental changes in subtropical Taiwan inferred from pollen and diatoms in lake sediments","+25 10","+121 33",25.1666666666667,121.55
"25",626,"Paleohydrology of Lake Nhaucati (southern Mozambique), ∼400 AD to present","-22 0","+35 35",-22,35.5833333333333
"26",633,"Eutrophication-induced changes in Lake Nakaumi, southwest Japan","+35 27","+133 11",35.45,133.183333333333
"27",669,"Palaeoecological tools for improving the management of coastal ecosystems: a case study from Lake King (Gippsland Lakes) Australia","-38 0","+147 39",-38,147.65
"28",683,"Diatoms from gut contents of museum specimens of an endangered minnow suggest long-term ecological changes in the Rio Grande (USA)","+35 45","-105 35",35.75,-105.583333333333
"29",687,"A 140-year record of recent changes in aquatic productivity in a remote, tropical alpine lake in the Rwenzori Mountain National Park, Uganda","-0 22","+29 54",-0.366666666666667,29.9
"30",736,"A diatom-based Holocene record of human impact from a coastal environment: Tuckean Swamp, eastern Australia","-28 58","+153 24",-28.9666666666667,153.4
"31",761,"Paleolimnological assessment of human impacts on an urban South African lake","-33 56","+25 35",-33.9333333333333,25.5833333333333
"32",776,"Palaeolimnological evidence for submerged plant loss in a floodplain lake associated with accelerated catchment soil erosion (Murray River, Australia)","-36 1","+146 42",-36.0166666666667,146.7
"33",832,"Geochemical and biological consequences of groundwater augmentation in lakes of west-central Florida (USA)","+27 28","-81 27",27.4666666666667,-81.45
"34",851,"Inferring paleosalinity trends using the chrysophyte cyst to diatom ratio in coastal shallow temperate/subtropical lagoons influenced by sea level changes","-34 37","-54 17",-34.6166666666667,-54.2833333333333
"35",859,"Diatom evidence for autochthonous artifact deposition in the Valsequillo region, Puebla, Mexico during the Sangamonian (sensu lato = 80,000 to ca. 220,000 yr BP and Illinoian (220,000 to 430,000 yr BP))","+19 2","-98 12",19.0333333333333,-98.2
"36",869,"Relationships between Trophic State, Paleosalinity and Climatic Changes during the First Holocene Marine Transgression in Rocha Lagoon, Southern Uruguay","-34 34","-54 10",-34.5666666666667,-54.1666666666667
"37",874,"Biological and Geochemical Record of Anthropogenic Impacts in Recent Sediments from Lake Pupuke, Auckland City, New Zealand","-36 47","+175 46",-36.7833333333333,175.766666666667
"38",906,"Modern Diatom Assemblages in Surface Sediments from Estuarine Systemsin the Southeastern Buenos Aires Province, Argentina","-37 40","-57 20",-37.6666666666667,-57.3333333333333
"39",907,"Environmental Changes at the Desert Margin: An Assessment of Recent Paleolimnological Records in Lake Qarun, Middle Egypt","+29 29","+30 17",29.4833333333333,30.2833333333333
"40",911,"Present Limnological Conditions and Recent (ca. 340 yr) Palaeolimnology of a Tropical Lake in the Sierra de Los Tuxtlas, Eastern Mexico","+18 36","-95 20",18.6,-95.3333333333333
"41",941,"On the presence of Stephanodiscus niagarae Ehrenberg in central Mexico","+19 8","-99 31",19.1333333333333,-99.5166666666667
"42",942,"Distribution of diatom assemblages and their relationship to environmental variables in the surface sediments of three northern Egyptian lakes","+31 12","+30 7",31.2,30.1166666666667
"43",967,"Relationships between Holocene sea-level variations, trophic development, and climatic change in Negra Lagoon, Southern Uruguay","-33 56","-53 33",-33.9333333333333,-53.55
"44",974,"Diatom paleoecology of Laguna Zoncho, Costa Rica","+8 48","-82 57",8.8,-82.95
"45",982,"Solar variability and the levels of Lake Victoria, East Africa, during the last millenium","+1 17","+33 19",1.28333333333333,33.3166666666667
"46",984,"Diatom-based models for reconstructing past water quality and productivity in New Zealand lakes","-36 30","+174 14",-36.5,174.233333333333
"47",986,"The use of sedimentary algal pigments to infer historic algal communities in Lake Apopka, Florida","+28 44","-81 46",28.7333333333333,-81.7666666666667
"48",1007,"Upper Pleistocene and Holocene paleosalinity and trophic state changes in relation to sea level variation in Rocha Lagoon, southern Uruguay","-34 34","-54 10",-34.5666666666667,-54.1666666666667
"49",1015,"Reconstruction of a climate record for the past 140 kyr based on diatom valve flux data from Lake Biwa, Japan","+35 20","+136 10",35.3333333333333,136.166666666667
"50",1054,"Development of a diatom-based model for inferring total phosphorus in southeastern Australian water storages","-35 24","+146 15",-35.4,146.25
"51",1057,"Interpreting the hydrological history of a temporary pond from chemical and microscopic characterization of siliceous microfossils","+33 9","-39 17",33.15,-39.2833333333333
"52",1058,"Environmental changes in the Zirahuén Basin, Michoacán, Mexico, during the last 1000 years","+19 26","-101 44",19.4333333333333,-101.733333333333
"53",1059,"Holocene trophic state changes in relation to sea level variation in Lake Blanca, SE Uruguay","-34 53","-54 50",-34.8833333333333,-54.8333333333333
"54",1068,"A diatom model for inferring sea level change in the coastal waters of Hong Kong","+22 23","+114 6",22.3833333333333,114.1
"55",1084,"Paleolimnology of Lake Tanganyika, East Africa, over the past 100 kyr","-11 40","+34 41",-11.6666666666667,34.6833333333333
"56",1093,"Diatom-based conductivity and water-level inference models from eastern Tibetan (Qinghai-Xizang) Plateau lakes","+35 0","+92 0",35,92
"57",1133,"Paleolimnological assessment of human impacts in Lake Blanca, SE Uruguay","-34 53","-54 50",-34.8833333333333,-54.8333333333333
"58",1195,"A high-resolution diatom reconstruction between 21,000 and 17,4000 14C yr BP from the southern Bolivian Altiplano (18–23°S)","-15 13","-68 33",-15.2166666666667,-68.55
"59",1204,"Establishment of wetlands on the southeastern Atlantic Coastal Plain: Paleolimnological evidence of a mid-Holocene hydrologic threshold from a South Carolina pond","+33 5","-81 35",33.0833333333333,-81.5833333333333
"60",1255,"Diatom-based ionic concentration and salinity models from the south Bolivian Altiplano (15–23 ° S","-18 40","-67 10",-18.6666666666667,-67.1666666666667
"61",1256,"Reconstructing fluctuations of a shallow East African lake during the past 1800 yrs from sediment stratigraphy in a submerged crater basin","-0 46","+36 22",-0.766666666666667,36.3666666666667
"62",1325,"A 12,400 14c yr Offshore Diatom Record From East Central Lake Victoria, East Africa","-0 58","+33 27",-0.966666666666667,33.45
"63",1335,"Paleolimnological investigation of recent acidity changes in Sawanoike Pond, Kyoto, Japan","+35 0","+135 46",35,135.766666666667
"64",6,"A deadly cocktail: How a drought around 4200 cal. yr BP caused mass mortality events at the infamous ‘dodo swamp’ in Mauritius","-20 26","+57 41",-20.4333333333333,57.6833333333333
"65",11,"Middle to late Holocene relative sea level rise, climate variability and environmental change along the Colombian Caribbean coast","+10 51","-74 19",10.85,-74.3166666666667
