depth;age;age_young;age_old;Achnanthdium.pyrenaicum;Achnanthes.cf.exilissima;Achnanthidium.exiguum;Achnanthes.microcephala;Psammothidium.sacculus;Achnanthes.sp.1.LLAVIUCU;Achnanthidium.minutissimum;Achnanthidium.minutissimum.var.scotica;Adlafia.minuscula;Adlafia.suchlandtii;Amphora.ovalis;Amphora.veneta;Aulacoseira.alpigena;Aulacoseira.cf.distans;Aulacoseira.granulata;Brachysira.microcephala.sensu..neoxilis;Brachysira.spp;Brachysira.vitrea;Brachysira.brebissoni;Caloneis.bacillum;Caloneis.cf.undulatiformis;Caloneis.sp.1;Caloneis.tenuis;Cavinula.cocconeiformis;Cavinula.pseudoscutiformis;Chammaepinularia.cf.soherensis.var.hassiaca;Chammaepinularia.sp;Cocconeis.neothumensis;Cocconeis.placentula.var.lineata;Cocconeis.placentula.var.placentula;Craticula.cuspidata;Cyclotella.sp.1;Cymbella.aspera;Cymbella.cf.affinis;Cymbella.cymbiformis..cystula;Cymbella.lanceolata;Cymbopleura.naviculiformis;Delicata.delicatula;Denticula.kuetzingii;Diadesmis.cf.arcuata;Diadesmis.contenta;Diatoma.mesodon;Diatoma.tenuis;Diploneis.subovalis;Discostella.stelligera;Encyonema.hebridicum;Encyonema.jemtlandicum;Encyonema.minutiforme;Encyonema.minutum;Encyonema.neogracile;Encyonema.perpusillum;Encyonema.silesiacum;Encyonema.silesiacum.var.elegans;Encyonema.vanoyei;Encyonopsis.cf.krammerioides;Encyonopsis.cf.microcephala;Encyonopsis.cf.rumrichae;Encyonopsis.difficiliformis;Encyonopsis.schneideri;Encyonopsis.sp.1.LLAVIUCU;Encyonopsis.sp.2.LLAVIUCU;Encyonopsis.subminuta;Eolimna.minima;Eolimna.subminuscula;Epithemia.adnata;Ephitemia.cf.argus;Epithemia.sorex;Eucocconeis..flexella;Eunotia.bilunaris;Eunotia.cf.andinofrequens;Eunotia.cf.arcus;Eunotia.cf.implicata;Eunotia.formica;Eunotia.incisa;Eunotia.minor;Eunotia.monodon;Eunotia.pectinalis;Eunotia.sp.1.LLAVIUCU;Eunotia.spp..girdle.view;Eunotia.tecta;Fallacia.sp.1.LLAVIUCU;Fragilaria.capucina.var.gracilis;Fragilaria.capucina;Fragilaria.cf.amphicephala;Fragilaria.cf.capucina;Fragilaria.cf.filiformis;Fragilaria.capucina.var.gracilis.1;Fragilaria.nanana;Pseudostaurosira.parasitica;Synedra.rumpens;Fragilaria.rumpens.var.fragilarioides;Fragilaria.santamerensis;Fragilaria.tenera;Fragilaria.vaucheriae;Frustulia.crassinerva;Frustulia.vulgaris;Gomphonema.acuminatum;Gomphonema.angustatum;Gomphonema.truncatum.var.capitatum;Gomphonema.cf.auritum;Gomphonema.cf.exilissima;Gomphonema.cf.geisslerae;Gomphonema.cf.krammeri;Gomphonema.cf.minusculum;Gomphonema.cf.subclavatum;Gomphonema.cf.vibrio;Gomphonema.clavatum;Gomphonema.lagenula;Gomphonema.parvulum;Gomphonema.pumilum.var.rigidum;Gomphonema.sp.1.LLAVIUCU.cf.netriviale;Gomphonema.sp.2.LLAVIUCU..cf.variostriatum;Gomphonema.sp.3.LLAVIUCU..aff.anjae.Rumrich.et.al.200.T124;Gomphonema.truncatum;Gomphonrma.sp.4.LLAVIUCU;Hannaea.arcus;Hantzschia.amphioxys;Hantzschia.cf.elegans;Kobayasiella.cf.subtilissima;Luticola.cf.aequatorialis;Luticola.mutica;Luticola.sp;Melosira.varians;Navicula.antonii;Adlafia.bryophila;Navicula.cf.luciae;Navicula.cryptocephala;Navicula.cryptotenella;Sellaphora.disjuntca;Navicula.radiosa;Navicula.radiosa.var.parva;Navicula.sp.1;Navicula.trivialis;Navicula.veneta;Navicula.viridulacalcis;Sellaphora.vitabunda;Neidium.iridis;Nitzschia.amphibia;Nitzschia.cf.archibaldii;Nitzschia.cf.palea.var.debilis;Nitzschia.cf.paleacea;Nitzschia.cf.perminuta;Nitzschia.elegantula;Nitzschia.fonticola;Nitzschia.frustulum;Nitzschia.lacuum;Nitzschia.linearis;Nitzschia.oberheimiana;Nitzschia.palea;Nitzschia.perminuta;Nitzschia.recta;Nitzschia.semirobusta;Nitzschia.sinuata.var.delognei;Nitzschia.sociabilis;Nitzschia.sp.1.TOREADORA;Nupela.praecipua;Nupela.sp.1.LLAVIUCU;Nupela.sp.2.LLAVIUCU;Orthoseria.roseana;Pinnularia.borealis;Pinnularia.divergens;Pinnularia.maior;Pinnularia.microstauron;Pinnularia.subgibba;Planothidium.frequentissimum;Planothidium.rostratum;Planothidium.salvadorianum;Planothidium.spp;Psammothidium.cf.lacus.vulcani;Achnanthes.daoensis;Pseudostaurosira.brevistriata;Pseudostaurosira.brevistriata.var.inflata;Pseudostaurosira.parasitica.1;Reimeria.sinuata;Rhopalodia.brebissoni;Rhopalodia.gibba;Rhopalodia.musculus;Sellaphora.laevissima;Sellaphora.pupula;Sellaphora.stroenii;Stauroneis.anceps;Stauroneis.gracilis;Staurosira.construens.var.venter;Staurosira.sp.1.LLAVIUCU;Staurosira.sp.1.NAPALE;Staurosira.spp;Staurosirella.leptostauron;Staurosirella.pinnata;Fragilaria.pinnata.var.lancettula;Stenopterobia.delicatissima;Stenopterobia.spp;Surirella.spp;Tabellaria.flocculosa.str.IV;Ulnaria.cf.ulna.var.amphyrhynchus;Ulnaria.cf.ulna.var.danica;Ulnaria.oxyrhynchus;Ulnaria.sp.1.LLAVIUCU;Ulnaria.ulna;Ulnaria.ulna.var.contracta
1;-58,98;-59,72;-58,18;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;2;5;0;0;0;3;0;0;0;34;0;263;0;0;0;0;0;0;24;0;0;0;0;3;0;0;8;0;3;0;0;0;2;0;3;1;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;5;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;15;3;0;3;0;4;0;0;0;0;1;0;0;0;0;0;0;2;0;24;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;8;0;0;0;4;18;7;0;0;0;42;41;5;0;0;0;0
2;-52,74;-53,41;-51,99;0;0;0;0;0;1;67;22;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;14;7;0;0;0;0;0;0;0;39;0;333;0;0;0;1;0;0;7;0;0;0;0;7;0;0;7;0;15;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;18;5;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;8;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;22;14;0;0;0;49;32;0;0;0;7;0
3;-48,44;-49,16;-47,73;0;0;0;1;4;3;109;10;0;0;0;0;0;0;0;37;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;11;0;3;5;0;0;0;0;0;0;0;35;0;269;0;0;0;0;0;1;1;0;0;0;0;2;0;0;14;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;0;7;0;7;0;0;0;0;1;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;7;10;0;0;0;38;30;2;0;0;3;0
4;-44,18;-44,99;-43,41;0;0;0;0;3;0;62;7;0;0;0;0;0;0;0;24;0;1;0;0;0;0;0;1;0;1;0;0;0;3;1;5;0;13;1;0;0;0;1;0;0;0;26;0;304;0;0;0;0;1;0;1;0;0;0;0;0;0;0;5;0;9;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14;0;7;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;7;0;0;0;0;1;0;0;1;0;0;0;3;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;15;5;0;0;0;35;12;0;0;0;0;0
5;-40,11;-40,91;-39,31;1;3;0;2;1;0;83;6;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;4;5;0;0;0;1;0;0;1;33;0;259;0;0;0;0;0;0;3;0;0;0;0;10;0;0;14;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;9;5;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;1;4;3;0;0;0;39;33;0;0;0;1;0
6;-36,38;-37,21;-35,55;1;1;0;0;2;0;64;12;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;12;3;0;0;0;0;0;0;0;51;0;265;0;0;0;0;0;0;9;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;23;0;0;0;0;8;3;0;0;0;46;32;1;1;0;3;0
7;-32,89;-33,71;-32,06;3;1;0;0;0;0;108;9;0;0;0;0;0;0;0;29;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;32;4;0;0;0;0;0;0;0;219;0;53;0;0;0;0;0;0;2;0;0;0;0;0;0;0;15;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;23;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;18;0;0;0;1;7;5;0;0;0;88;38;0;1;0;0;0
8;-29,44;-30,39;-28,52;0;0;0;0;2;0;138;7;0;0;0;0;0;0;0;32;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;2;0;10;4;0;0;0;1;0;0;0;42;0;213;0;0;0;0;0;1;3;0;0;0;0;2;0;0;10;0;7;0;0;0;1;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;4;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;13;0;0;0;0;3;1;0;0;0;97;31;0;1;0;1;0
9;-26,17;-27,19;-25,23;0;0;0;0;2;0;130;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;5;2;0;0;0;4;0;0;0;40;0;191;0;0;0;0;0;0;4;0;0;0;0;3;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;77;16;0;0;1;7;0
10;-22,80;-23,86;-21,83;0;1;0;1;0;0;150;4;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;1;0;0;0;0;0;0;0;53;0;116;0;0;0;0;0;0;1;0;0;0;0;7;0;0;3;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;110;12;5;3;0;3;0
11;-17,91;-18,96;-16,88;1;0;0;0;0;0;164;5;0;0;0;0;0;0;0;19;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;4;3;0;0;0;0;0;0;0;49;0;109;0;0;0;0;0;0;13;0;0;0;0;10;0;0;25;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;1;0;2;0;0;0;1;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;1;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;128;10;11;0;3;1;0
12;-14,26;-15,32;-13,11;0;0;0;0;0;0;168;6;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;7;3;0;0;1;0;0;0;0;47;0;95;0;0;0;4;0;0;8;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;5;0;4;0;0;0;0;3;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;106;16;3;0;0;5;0
13;-10,01;-11,18;-8,83;1;0;0;0;0;0;139;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;3;1;0;0;1;29;0;81;0;0;0;1;0;1;1;0;0;0;0;8;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;94;19;0;4;0;3;0
14;-8,00;-15,00;-5,00;0;0;0;0;1;0;172;1;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;2;0;0;0;49;0;109;0;0;0;3;0;0;3;0;0;0;0;2;0;0;18;0;8;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;4;0;1;0;0;0;0;3;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;17;0;5;0;0;0
15;-1,99;-3,49;-0,37;0;0;0;0;0;0;129;1;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;2;0;0;0;0;0;0;0;22;0;88;0;0;0;3;0;0;1;0;0;0;0;0;0;0;10;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;7;0;0;0;0;0;0;2;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;13;0;0;0;0;0
16;6,61;4,31;8,68;0;0;0;0;0;0;125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;1;3;24;0;88;0;0;0;1;0;0;1;0;0;0;0;2;0;0;7;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;3;0;0;0;0;1;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;112;13;3;0;0;2;0
17;9,48;1,00;13,00;0;0;0;0;0;0;131;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;1;0;0;0;3;0;0;0;37;0;104;0;0;0;0;0;0;0;0;0;0;7;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;7;0;4;0;0;0;0;2;0;4;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;139;19;0;1;0;0;0
18;13,21;10,26;15,62;0;0;0;0;1;0;141;0;0;0;0;0;0;0;0;25;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0;4;0;0;0;31;0;99;0;0;0;0;0;0;12;0;0;0;0;2;0;0;17;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;2;0;1;0;3;0;0;0;0;0;0;13;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;129;17;0;0;0;5;0
19;20,08;16,69;22,84;0;0;0;0;0;0;187;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;0;0;7;0;0;1;35;0;46;0;0;4;0;0;0;8;0;0;0;0;7;0;0;27;0;15;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;13;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;8;1;1;3;0;1;0;0;0;0;3;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;142;32;0;0;0;3;0
